id,_Personne__id_personne,_Personne__sex,_Personne__nom,_Personne__prenom,_Personne__date_naissance,_Personne__nationalite,_Personne__pays,_Personne__taille,_Personne__poids,_Personne__statut,_Personne__id_csv,_Competiteur__surnom,_Competiteur__sport_pratique,_Competiteur__numero_maillot,_Competiteur__poste_principal,_Competiteur__nombre_medailles
3763,3763,,Fajr,Faycal,1988-08-01,,,178.0,72.1,{},279173.0,,3,,,0
3764,3764,,Rherras,Faycal,1993-04-07,,,183.0,77.1,{},466480.0,,3,,,0
3765,3765,,Kasmi,Faysel,1995-10-31,,,168.0,64.9,{},512033.0,,3,,,0
3766,3766,,Kocabas,Fazli,1990-01-01,,,185.0,79.8,{},181051.0,,3,,,0
3767,3767,,Vico,Fede,1994-07-04,,,168.0,64.0,{},244136.0,,3,,,0
3768,3768,,Agliardi,Federico,1983-02-11,,,190.0,86.2,{},27658.0,,3,,,0
3769,3769,,Almerares,Federico,1985-05-02,,,183.0,78.9,{},18644.0,,3,,,0
3770,3770,,Andrada,Federico,1994-03-03,,,180.0,74.8,{},450812.0,,3,,,0
3771,3771,,Balzaretti,Federico,1981-12-06,,,178.0,69.9,{},24622.0,,3,,,0
3772,3772,,Barba,Federico,1993-09-01,,,188.0,77.1,{},365624.0,,3,,,0
3773,3773,,Bernardeschi,Federico,1994-02-16,,,183.0,74.8,{},414245.0,,3,,,0
3774,3774,,Casarini,Federico,1989-08-07,,,180.0,72.1,{},150388.0,,3,,,0
3775,3775,,Ceccherini,Federico,1992-05-11,,,185.0,72.1,{},244816.0,,3,,,0
3776,3776,,Di Francesco,Federico,1994-06-14,,,178.0,71.2,{},438507.0,,3,,,0
3777,3777,,Dionisi,Federico,1987-06-16,,,178.0,68.0,{},181921.0,,3,,,0
3778,3778,,Fazio,Federico,1987-03-17,,,196.0,91.2,{},95509.0,,3,,,0
3779,3779,,Fernandez,Federico,1989-02-22,,,190.0,83.0,{},155050.0,,3,,,0
3780,3780,,Macheda,Federico,1991-08-22,,,183.0,77.1,{},165709.0,,3,,,0
3781,3781,,Marchetti,Federico,1983-02-07,,,188.0,83.0,{},39599.0,,3,,,0
3782,3782,,Mattiello,Federico,1995-07-14,,,183.0,77.1,{},528439.0,,3,,,0
3783,3783,,Nicolas Cartabia,Federico,1993-01-02,,,170.0,64.9,{},474680.0,,3,,,0
3784,3784,,Peluso,Federico,1984-01-02,,,188.0,82.1,{},41497.0,,3,,,0
3785,3785,,Piovaccari,Federico,1984-09-01,,,180.0,77.1,{},42524.0,,3,,,0
3786,3786,,Ricca,Federico,1994-12-01,,,178.0,72.1,{},522203.0,,3,,,0
3787,3787,,Ricci,Federico,1994-05-27,,,175.0,63.0,{},309539.0,,3,,,0
3788,3788,,Santander,Federico,1991-06-04,,,188.0,84.8,{},127207.0,,3,,,0
3789,3789,,Viviani,Federico,1992-03-24,,,180.0,74.8,{},251384.0,,3,,,0
3790,3790,,Smolov,Fedor,1990-02-09,,,188.0,79.8,{},118508.0,,3,,,0
3791,3791,,Mulic,Fejsal,1994-10-03,,,203.0,83.9,{},601304.0,,3,,,0
3792,3792,,Natalino,Felice,1992-03-24,,,185.0,73.9,{},213744.0,,3,,,0
3793,3793,,Anderson,Felipe,1993-04-15,,,175.0,69.9,{},230190.0,,3,,,0
3794,3794,,Augusto,Felipe,1992-03-06,,,183.0,78.9,{},717248.0,,3,,,0
3795,3795,,Caicedo,Felipe,1988-09-05,,,183.0,83.9,{},41622.0,,3,,,0
3796,3796,,Gedoz,Felipe,1993-07-12,,,178.0,78.9,{},315459.0,,3,,,0
3797,3797,,Gutierrez,Felipe,1990-10-08,,,170.0,64.0,{},188533.0,,3,,,0
3798,3798,,Mattioni Rohde,Felipe,1988-10-15,,,180.0,74.8,{},127370.0,,3,,,0
3799,3799,,Melo,Felipe,1983-08-26,,,183.0,79.8,{},33888.0,,3,,,0
3800,3800,,Menezes,Felipe,1988-01-02,,,185.0,76.2,{},80181.0,,3,,,0
3801,3801,,Morais,Felipe,1985-11-21,,,175.0,83.0,{},33697.0,,3,,,0
3802,3802,,Pardo,Felipe,1990-08-17,,,178.0,83.9,{},101434.0,,3,,,0
3803,3803,,Saad,Felipe,1983-09-11,,,188.0,83.0,{},103691.0,,3,,,0
3804,3804,,Santana,Felipe,1986-03-17,,,193.0,84.8,{},20396.0,,3,,,0
3805,3805,,Seymour,Felipe,1987-07-23,,,175.0,74.8,{},49897.0,,3,,,0
3806,3806,,,Felipe,1987-08-07,,,188.0,78.9,{},101201.0,,3,,,0
3807,3807,,,Felipe,1987-05-15,,,193.0,89.8,{},129462.0,,3,,,0
3808,3808,,,Felipe,1984-02-22,,,190.0,86.2,{},171981.0,,3,,,0
3809,3809,,,Felipe,1984-07-31,,,188.0,74.8,{},27719.0,,3,,,0
3810,3810,,Zschusschen,Felitciano,1992-01-24,,,188.0,69.9,{},427984.0,,3,,,0
3811,3811,,Bastians,Felix,1988-05-09,,,188.0,83.0,{},23587.0,,3,,,0
3812,3812,,Klaus,Felix,1992-09-13,,,178.0,78.9,{},237541.0,,3,,,0
3813,3813,,Kroos,Felix,1991-03-12,,,183.0,78.0,{},164259.0,,3,,,0
3814,3814,,Luz,Felix,1982-01-18,,,185.0,78.0,{},26967.0,,3,,,0
3815,3815,,Passlack,Felix,1998-05-29,,,170.0,73.9,{},637753.0,,3,,,0
3816,3816,,Platte,Felix,1996-02-11,,,190.0,88.0,{},614212.0,,3,,,0
3817,3817,,Wiedwald,Felix,1990-03-15,,,190.0,82.1,{},177953.0,,3,,,0
3818,3818,,Bastos,Fellipe,1990-02-01,,,180.0,82.1,{},145583.0,,3,,,0
3819,3819,,Balogun,Femi,1992-12-27,,,175.0,74.8,{},478418.0,,3,,,0
3820,3820,,Coppola,Ferdinando,1978-06-01,,,188.0,86.2,{},42390.0,,3,,,0
3821,3821,,Sforzini,Ferdinando,1984-12-04,,,193.0,83.0,{},42017.0,,3,,,0
3822,3822,,Dore,Ferebory,1989-01-21,,,193.0,81.2,{},195263.0,,3,,,0
3823,3823,,Hasani,Ferhan,1990-06-18,,,188.0,74.8,{},253410.0,,3,,,0
3824,3824,,Matri,Ferid,1994-01-16,,,190.0,88.0,{},458808.0,,3,,,0
3825,3825,,Sassi,Ferjani,1992-03-18,,,185.0,76.2,{},505866.0,,3,,,0
3826,3826,,"Aitor Tornavaca,29",Fernandez,1976-03-24,,,175.0,69.9,{},38035.0,,3,,,0
3827,3827,,,Fernandinho,1985-11-25,,,170.0,66.2,{},171899.0,,3,,,0
3828,3828,,,Fernandinho,1985-05-04,,,175.0,67.1,{},40196.0,,3,,,0
3829,3829,,Alexandre,Fernando,1985-08-02,,,183.0,82.1,{},150024.0,,3,,,0
3830,3830,,Amorebieta,Fernando,1985-03-29,,,190.0,83.9,{},37604.0,,3,,,0
3831,3831,,Aristeguieta,Fernando,1992-04-09,,,188.0,82.1,{},211146.0,,3,,,0
3832,3832,,Belluschi,Fernando,1983-09-01,,,173.0,78.0,{},36154.0,,3,,,0
3833,3833,,Canesin Matos,Fernando,1992-02-27,,,175.0,68.0,{},265123.0,,3,,,0
3834,3834,,Cardozo,Fernando,1979-03-17,,,185.0,73.9,{},11827.0,,3,,,0
3835,3835,,Cavenaghi,Fernando,1983-09-21,,,178.0,81.2,{},40710.0,,3,,,0
3836,3836,,Damian Tissone,Fernando,1986-07-24,,,180.0,77.1,{},39198.0,,3,,,0
3837,3837,,Ferreira,Fernando,1986-11-02,,,183.0,78.9,{},356068.0,,3,,,0
3838,3838,,Gago,Fernando,1986-04-01,,,178.0,69.9,{},18814.0,,3,,,0
3839,3839,,Lewis,Fernando,1993-01-31,,,180.0,68.0,{},293360.0,,3,,,0
3840,3840,,Llorente,Fernando,1985-02-26,,,196.0,89.8,{},33030.0,,3,,,0
3841,3841,,Marcal,Fernando,1989-02-19,,,178.0,72.1,{},304014.0,,3,,,0
3842,3842,,Marquez,Fernando,1987-12-01,,,183.0,86.2,{},68411.0,,3,,,0
