id,_Equipe__id_equipe,_Equipe__nom_officiel,_Equipe__nom_abrege,_Equipe__surnom,_Equipe__ville,_Equipe__pays,_Equipe__code_pays,_Equipe__etat,_Equipe__genre,_Equipe__discipline,_Equipe__president,_Equipe__liste_joueurs,_Equipe__liste_coachs,_Equipe__annee_fondation,_Equipe__nb_medailles,_Equipe__id_csv
316,316,AC Bellinzona,BEL,,,,,,masculin,3,,[],[],,0,6493
317,317,BSC Young Boys,YB,,,,,,masculin,3,,[],[],,0,10192
318,318,FC Basel,BAS,,,,,,masculin,3,,[],[],,0,9931
319,319,FC Aarau,AAR,,,,,,masculin,3,,[],[],,0,9930
320,320,FC Sion,SIO,,,,,,masculin,3,,[],[],,0,10179
321,321,FC Luzern,LUZ,,,,,,masculin,3,,[],[],,0,10199
322,322,FC Vaduz,VAD,,,,,,masculin,3,,[],[],,0,9824
323,323,Neuchâtel Xamax,XAM,,,,,,masculin,3,,[],[],,0,7955
324,324,FC Zürich,ZUR,,,,,,masculin,3,,[],[],,0,10243
325,325,FC St. Gallen,GAL,,,,,,masculin,3,,[],[],,0,10190
326,326,FC Thun,THU,,,,,,masculin,3,,[],[],,0,10191
327,327,Servette FC,SER,,,,,,masculin,3,,[],[],,0,9777
328,328,FC Lausanne-Sports,LAU,,,,,,masculin,3,,[],[],,0,7730
329,329,Lugano,LUG,,,,,,masculin,3,,[],[],,0,7896
